"","Origin","Weather","Security","LateAircraft"
"8159","LAX",0,0,104
"8160","LAX",0,0,29
"8163","LAX",0,0,6
"8938","LAX",0,0,0
"8939","LAX",0,0,23
"8943","LAX",0,0,17
"8947","LAX",0,0,3
"8948","LAX",0,0,16
"8950","LAX",0,0,3
"8953","LAX",0,0,47
"8954","LAX",0,0,38
"8957","LAX",0,0,15
"8958","LAX",0,0,0
"8959","LAX",0,0,5
"8960","LAX",0,0,54
"9634","LAX",0,0,16
"9637","LAX",0,0,0
"9638","LAX",0,0,64
"9643","LAX",0,0,10
"9644","LAX",0,0,12
"9646","LAX",0,0,22
"9651","LAX",0,0,0
"9652","LAX",0,0,0
"9653","LAX",0,0,10
"9656","LAX",0,0,15
"9658","LAX",0,0,28
"10418","LAX",0,0,6
"10422","LAX",0,0,25
"10425","LAX",0,0,12
"10427","LAX",0,0,12
"10428","LAX",0,0,31
"10429","LAX",0,0,34
"10430","LAX",0,0,0
"10431","LAX",0,0,4
"10432","LAX",0,0,7
"10433","LAX",0,0,14
"10434","LAX",0,0,27
"10436","LAX",0,0,27
"10438","LAX",0,0,0
"10440","LAX",0,0,14
"10441","LAX",0,0,74
"10442","LAX",0,0,88
"10443","LAX",0,0,31
"10444","LAX",0,0,56
"10445","LAX",77,0,0
"10446","LAX",0,0,0
"10450","LAX",0,0,0
"10452","LAX",0,0,33
"10455","LAX",0,0,0
"11073","LAX",0,0,24
"11078","LAX",0,0,13
"11079","LAX",0,0,13
"11080","LAX",0,0,0
"11648","LAX",0,0,0
"11649","LAX",0,0,20
"11651","LAX",0,14,11
"11663","LAX",0,0,37
"11664","LAX",0,15,24
"11667","LAX",0,0,20
"11668","LAX",0,12,0
"11669","LAX",0,42,0
"11671","LAX",0,0,22
"11672","LAX",0,0,13
"11673","LAX",0,0,42
"11675","LAX",0,31,6
"11678","LAX",0,8,0
"11679","LAX",0,0,0
"11680","LAX",0,7,2
"11685","LAX",0,0,26
"11688","LAX",0,0,0
"11691","LAX",0,0,31
"11693","LAX",0,15,14
"12481","LAX",0,0,0
"12483","LAX",0,0,16
"12484","LAX",0,0,0
"12942","LAX",0,0,33
"12946","LAX",0,0,23
"12947","LAX",0,0,176
"12948","LAX",0,0,14
"12949","LAX",0,0,50
"12953","LAX",0,0,22
"12956","LAX",0,0,17
"12957","LAX",0,0,17
"12958","LAX",0,0,0
"12959","LAX",0,0,41
"12961","LAX",0,0,0
"12962","LAX",0,0,26
"12963","LAX",0,0,26
"12964","LAX",0,0,0
"12965","LAX",0,0,0
"12966","LAX",0,0,0
"13571","LAX",0,0,0
"13573","LAX",0,0,15
"13574","LAX",0,0,0
"13583","LAX",0,0,0
"13585","LAX",0,0,0
"14480","LAX",0,0,23
"14481","LAX",0,0,2
"14485","LAX",0,0,9
"14488","LAX",0,0,0
"14489","LAX",0,0,40
"14490","LAX",0,0,116
"14491","LAX",0,0,0
"14492","LAX",0,0,0
"14493","LAX",0,0,0
"14496","LAX",0,0,21
"14497","LAX",0,0,0
"14499","LAX",0,0,4
"14501","LAX",0,0,0
"14502","LAX",0,0,0
"14503","LAX",0,0,10
"14505","LAX",0,0,0
"14508","LAX",0,0,0
"14509","LAX",0,0,51
"14510","LAX",0,0,0
"14511","LAX",0,0,24
"14512","LAX",0,0,7
"14513","LAX",0,0,0
"14514","LAX",0,0,10
"14515","LAX",0,0,0
"14517","LAX",0,0,22
